,asset,ret,bin
2022-06-21,PETR4_SA,0.19283347260460437,1.0
2022-06-23,PETR4_SA,0.17063019788740919,1.0
2022-06-24,PETR4_SA,0.16774427570673733,1.0
2022-06-27,PETR4_SA,0.22051483153378038,1.0
2022-06-28,PETR4_SA,0.2054359921243294,1.0
2022-06-29,PETR4_SA,0.21616798030009243,1.0
2022-06-30,PETR4_SA,0.22269933078827586,1.0
2022-07-01,PETR4_SA,0.196985608153867,1.0
2022-07-04,PETR4_SA,0.19663697737564934,1.0
2022-07-05,PETR4_SA,0.21833733022834467,1.0
2022-07-06,PETR4_SA,0.23418879581773888,1.0
2022-07-07,PETR4_SA,0.19908710133832486,1.0
2022-07-08,PETR4_SA,0.21076377865056806,1.0
2022-07-11,PETR4_SA,0.19155600469482592,1.0
2022-07-12,PETR4_SA,0.2097059388689797,1.0
2022-07-14,PETR4_SA,0.24226985977815652,1.0
2022-07-15,PETR4_SA,0.22138775371558772,1.0
2022-07-18,PETR4_SA,0.19405609114951483,1.0
2022-07-19,PETR4_SA,0.19499666579481056,1.0
2022-07-21,PETR4_SA,0.20158523177622678,1.0
2022-07-22,PETR4_SA,0.18888534370702503,1.0
2022-07-25,PETR4_SA,0.19315977953340302,1.0
2022-07-26,PETR4_SA,0.2005803992985793,1.0
2022-07-27,PETR4_SA,0.18755981167873537,1.0
2022-07-28,PETR4_SA,0.2060054411344845,1.0
2022-07-29,PETR4_SA,0.20972435485001006,1.0
2022-08-01,PETR4_SA,0.2185839040897406,1.0
2022-08-02,PETR4_SA,0.21318075310085915,1.0
2022-08-04,PETR4_SA,0.1997050789854029,1.0
2022-08-05,PETR4_SA,0.21432931939366617,1.0
2022-08-08,PETR4_SA,0.05171642439434421,1.0
2022-08-09,PETR4_SA,0.07369058164381315,1.0
2022-08-10,PETR4_SA,0.11389488651324453,1.0
2022-08-11,PETR4_SA,0.13930517867765202,1.0
2022-08-12,PETR4_SA,0.048564969215546094,1.0
2022-08-16,PETR4_SA,0.060293437968939934,1.0
2022-08-17,PETR4_SA,0.02014665713149788,1.0
2022-08-18,PETR4_SA,-0.0008978237619794438,-1.0
2022-08-19,PETR4_SA,0.07815973292304657,1.0
2022-08-22,PETR4_SA,0.09287222627762781,1.0
2022-08-23,PETR4_SA,0.09061028844379115,1.0
2022-08-24,PETR4_SA,0.12128392015006928,1.0
2022-08-25,PETR4_SA,0.029146726061330286,1.0
2022-08-26,PETR4_SA,-0.003269938056309485,-1.0
2022-08-29,PETR4_SA,-0.05133416286613901,-1.0
2022-08-30,PETR4_SA,0.0163428947876203,1.0
2022-08-31,PETR4_SA,-0.019861477195408317,-1.0
2022-09-01,PETR4_SA,-0.11934973995090092,-1.0
2022-09-02,PETR4_SA,-0.10652289545159355,-1.0
2022-09-06,PETR4_SA,-0.11838016027317211,-1.0
2022-09-08,PETR4_SA,-0.14622643053689022,-1.0
2022-09-12,PETR4_SA,0.19822080415900833,1.0
2022-09-13,PETR4_SA,0.23066864683606103,1.0
2022-09-14,PETR4_SA,0.2120820417618774,1.0
2022-09-16,PETR4_SA,0.2254707223374659,1.0
2022-09-19,PETR4_SA,0.20626754203697817,1.0
2022-09-20,PETR4_SA,0.21325176180415073,1.0
2022-09-22,PETR4_SA,0.18096392546383155,1.0
2022-09-23,PETR4_SA,0.2181030459564708,1.0
2022-09-26,PETR4_SA,0.20928632501172806,1.0
2022-09-27,PETR4_SA,0.19379811349364617,1.0
2022-09-28,PETR4_SA,0.21011230652687019,1.0
2022-09-30,PETR4_SA,0.18859017533138278,1.0
2022-10-03,PETR4_SA,-0.22436735259795026,-1.0
2022-10-04,PETR4_SA,0.20242243466880439,1.0
2022-10-05,PETR4_SA,-0.1975422341232662,-1.0
2022-10-06,PETR4_SA,-0.22400452051591135,-1.0
2022-10-10,PETR4_SA,-0.21443590897090226,-1.0
2022-10-11,PETR4_SA,-0.20848468262027753,-1.0
2022-10-13,PETR4_SA,-0.20005886118881855,-1.0
2022-10-14,PETR4_SA,-0.19509265329840086,-1.0
2022-10-18,PETR4_SA,-0.2063724917467089,-1.0
2022-10-19,PETR4_SA,-0.20101627010511747,-1.0
2022-10-20,PETR4_SA,-0.2240198480758273,-1.0
2022-10-21,PETR4_SA,-0.20970276977676572,-1.0
2022-10-24,PETR4_SA,-0.23737219014261635,-1.0
2022-10-25,PETR4_SA,-0.3149443440093671,-1.0
2022-10-26,PETR4_SA,-0.29777085304075757,-1.0
2022-10-27,PETR4_SA,-0.3030972113613978,-1.0
2022-10-28,PETR4_SA,-0.29475239882951587,-1.0
2022-10-31,PETR4_SA,-0.10994490291467995,-1.0
2022-11-03,PETR4_SA,-0.18126164241815923,-1.0
2022-11-04,PETR4_SA,-0.15545243634731154,-1.0
2022-11-07,PETR4_SA,-0.09170190497417341,-1.0
2022-11-08,PETR4_SA,-0.06587660706088894,-1.0
2022-11-09,PETR4_SA,-0.055817897587089216,-1.0
2022-11-10,PETR4_SA,-0.022298069870702153,-1.0
2022-11-11,PETR4_SA,-0.045092560850542696,-1.0
2022-11-14,PETR4_SA,-0.062230133938398824,-1.0
2022-11-16,PETR4_SA,-0.029441045292994072,-1.0
2022-11-18,PETR4_SA,-0.03672442107611451,-1.0
2022-11-22,PETR4_SA,0.07458189849788988,1.0
2022-11-24,PETR4_SA,0.08742250004514363,1.0
2022-11-25,PETR4_SA,0.12279962234503228,1.0
2022-11-28,PETR4_SA,0.09195443458711972,1.0
2022-11-29,PETR4_SA,0.061465846480292186,1.0
2022-11-30,PETR4_SA,-0.01537894081692115,-1.0
2022-12-01,PETR4_SA,0.0011725013098715653,1.0
